,x
2020-03-15,5
2020-03-22,69
2020-03-29,284
2020-04-05,707
2020-04-12,1375
2020-04-19,2087
2020-04-26,2777
2020-05-03,3454
2020-05-10,3922
2020-05-17,4223
2020-05-24,4451
2020-05-31,4620
2020-06-07,4829
2020-06-14,4959
2020-06-21,5079
2020-06-28,5170
2020-07-05,5283
2020-07-12,5369
2020-07-19,5468
2020-07-26,5548
2020-08-02,5634
2020-08-09,5701
2020-08-16,5820
2020-08-23,5929
2020-08-30,6045
2020-09-06,6182
2020-09-13,6379
2020-09-20,6571
2020-09-27,6758
2020-10-04,6978
2020-10-11,7181
2020-10-18,7352
2020-10-25,7534
2020-11-01,7698
2020-11-08,7851
2020-11-15,8041
2020-11-22,8206
2020-11-29,8373
2020-12-06,8629
2020-12-13,8971
2020-12-20,9591
2020-12-27,10518
2021-01-03,11963
2021-01-10,13373
2021-01-17,14510
2021-01-24,15433
2021-01-31,16080
2021-02-07,16694
2021-02-14,17082
2021-02-21,17397
2021-02-28,17699
2021-03-07,18022
